Simulation 53001064 contains 10 tasks using 16384 CPUs
Task id 53001064-1 runtime 1 completion 801 s
Task id 53001064-2 runtime 2 completion 925 s 
Task id 53001064-3 runtime 3 completion 1945 s 
Task id 53001064-4 runtime 4 completion 2237 s
Task id 53001064-5 runtime 5 completion 3990 s
Task id 53001064-6 runtime 6 completion 4386 s
Task id 53001064-7 runtime 7 completion 4780 s
Task id 53001064-8 runtime 8 completion 4998 s
Task id 53001064-9 runtime 9 completion 5112 s
Task id 53001064-10 runtime 10 completion 5672 s
Task id 53001064-11 runtime 11 completion 8501 s
Task id 53001064-12 runtime 12 completion 8655 s
Task id 53001064-13 runtime 13 completion 8745 s
Task id 53001064-14 runtime 14 completion 9334 s
Task id 53001064-15 runtime 15 completion 9457 s
Task id 53001064-16 runtime 16 completion 9762 s
Task id 53001064-17 runtime 17 completion 9989 s
Task id 53001064-18 runtime 18 completion 10034 s
Task id 53001064-19 runtime 19 completion 11346 s
Task id 53001064-20 runtime 20 completion 13623 s 

