Simulation 53001064 contains 20 tasks using 8 CPUs
Task id 53001064-1 runtime 1 completion 10021 s
Task id 53001064-2 runtime 2 completion 10167 s 
Task id 53001064-3 runtime 3 completion 11141 s 
Task id 53001064-4 runtime 4 completion 12215 s
Task id 53001064-5 runtime 5 completion 13078 s
Task id 53001064-6 runtime 6 completion 13112 s
Task id 53001064-7 runtime 7 completion 13456 s
Task id 53001064-8 runtime 8 completion 13908 s
Task id 53001064-9 runtime 9 completion 14034 s
Task id 53001064-10 runtime 10 completion 14212 s
Task id 53001064-11 runtime 11 completion 14327 s
Task id 53001064-12 runtime 12 completion 16890 s
Task id 53001064-13 runtime 13 completion 18094 s
Task id 53001064-14 runtime 14 completion 21765 s
Task id 53001064-15 runtime 15 completion 24684 s
Task id 53001064-16 runtime 16 completion 25560 s
Task id 53001064-17 runtime 17 completion 27894 s
Task id 53001064-18 runtime 18 completion 28657 s
Task id 53001064-19 runtime 19 completion 29934 s
Task id 53001064-20 runtime 20 completion 36378 s 

