Simulation 53001064 contains 20 tasks using 128 CPUs
Task id 53001064-1 runtime 1 completion 702 s
Task id 53001064-2 runtime 2 completion 790 s 
Task id 53001064-3 runtime 3 completion 1119 s 
Task id 53001064-4 runtime 4 completion 1187 s
Task id 53001064-5 runtime 5 completion 1342 s
Task id 53001064-6 runtime 6 completion 2367 s
Task id 53001064-7 runtime 7 completion 3043 s
Task id 53001064-8 runtime 8 completion 3396 s
Task id 53001064-9 runtime 9 completion 3763 s
Task id 53001064-10 runtime 10 completion 3981 s
Task id 53001064-11 runtime 11 completion 4301 s
Task id 53001064-12 runtime 12 completion 4334 s
Task id 53001064-13 runtime 13 completion 4568 s
Task id 53001064-14 runtime 14 completion 4550 s
Task id 53001064-15 runtime 15 completion 4681 s
Task id 53001064-16 runtime 16 completion 4722 s
Task id 53001064-17 runtime 17 completion 5376 s
Task id 53001064-18 runtime 18 completion 5489 s
Task id 53001064-19 runtime 19 completion 7009 s
Task id 53001064-20 runtime 20 completion 10144 s 

