Simulation 53001064 contains 20 tasks using 1 CPUs
Task id 53001064-1 runtime 1 completion 90853 s
Task id 53001064-2 runtime 2 completion 91294 s 
Task id 53001064-3 runtime 3 completion 93623 s 
Task id 53001064-4 runtime 4 completion 94198 s
Task id 53001064-5 runtime 5 completion 64459 s
Task id 53001064-6 runtime 6 completion 65116 s
Task id 53001064-7 runtime 7 completion 66615 s
Task id 53001064-8 runtime 8 completion 78934 s
Task id 53001064-9 runtime 9 completion 80897 s
Task id 53001064-10 runtime 10 completion 87112 s
Task id 53001064-11 runtime 11 completion 87947 s
Task id 53001064-12 runtime 12 completion 88905 s
Task id 53001064-13 runtime 13 completion 89457 s
Task id 53001064-14 runtime 14 completion 91112 s
Task id 53001064-15 runtime 15 completion 99053 s
Task id 53001064-16 runtime 16 completion 104587 s
Task id 53001064-17 runtime 17 completion 189342 s
Task id 53001064-18 runtime 18 completion 206709 s
Task id 53001064-19 runtime 19 completion 213765 s
Task id 53001064-20 runtime 20 completion 262464 s 

