Simulation 53001064 contains 20 tasks using 256 CPUs
Task id 53001064-1 runtime 1 completion 632 s
Task id 53001064-2 runtime 2 completion 841 s 
Task id 53001064-3 runtime 3 completion 1015 s 
Task id 53001064-4 runtime 4 completion 1034 s
Task id 53001064-5 runtime 5 completion 1113 s
Task id 53001064-6 runtime 6 completion 2104 s
Task id 53001064-7 runtime 7 completion 2903 s
Task id 53001064-8 runtime 8 completion 3212 s
Task id 53001064-9 runtime 9 completion 3457 s
Task id 53001064-10 runtime 10 completion 3568 s
Task id 53001064-11 runtime 11 completion 4001 s
Task id 53001064-12 runtime 12 completion 4003 s
Task id 53001064-13 runtime 13 completion 4119 s
Task id 53001064-14 runtime 14 completion 4211 s
Task id 53001064-15 runtime 15 completion 4408 s
Task id 53001064-16 runtime 16 completion 4598 s
Task id 53001064-17 runtime 17 completion 5233 s
Task id 53001064-18 runtime 18 completion 5478 s
Task id 53001064-19 runtime 19 completion 6783 s
Task id 53001064-20 runtime 20 completion 9965 s 

